Date,Close,High,Low,Open,Volume,Positive,Negative,Neutral,Compound_Sentiment,Price_Change_%
2017-01-02,8179.5,8212.0,8133.7998046875,8210.099609375,118300,0.9507143064099162,0.500112752076627,0.0,0.4506015543332892,
2017-01-03,8192.25,8219.099609375,8148.60009765625,8196.0498046875,127300,0.7319939418114051,0.4119580950341019,0.0,0.3200358467773031,0.15587749862460143
2017-01-04,8190.5,8218.5,8180.89990234375,8202.650390625,132400,0.5986584841970366,0.8705269662693842,0.0,-0.2718684820723476,-0.021361652781592966
2017-01-05,8273.7998046875,8282.650390625,8223.7001953125,8226.650390625,159100,0.1560186404424365,0.6314189212183764,0.2125624383391871,-0.4754002807759399,1.017029542610337
2017-01-06,8243.7998046875,8306.849609375,8233.25,8281.849609375,139400,0.1559945203362026,0.5325040664159818,0.3115014132478155,-0.3765095460797791,-0.36259035398709116
2017-01-09,8236.0498046875,8263.0,8227.75,8259.349609375,99100,0.6011150117432088,0.1172039056802334,0.2816810825765578,0.4839111060629754,-0.09401004613908137
2017-01-10,8288.599609375,8293.7998046875,8261.0,8262.7001953125,142900,0.7080725777960455,0.337206575565752,0.0,0.3708660022302934,0.6380462228092743
2017-01-11,8380.650390625,8389.0,8322.25,8327.7998046875,186500,0.0205844942958024,0.1428419648143318,0.8365735408898657,-0.1222574705185294,1.110570972035907
2017-01-12,8407.2001953125,8417.2001953125,8382.2998046875,8391.0498046875,172600,0.9699098521619944,0.6920736470243689,0.0,0.2778362051376254,0.3167988574872327
2017-01-13,8400.349609375,8461.0498046875,8373.150390625,8457.650390625,185300,0.8324426408004217,0.2062521138361526,0.0,0.6261905269642691,-0.08148474852923693
2017-01-16,8412.7998046875,8426.7001953125,8374.400390625,8390.9501953125,124100,0.1834045098534338,0.2043163833989703,0.6122791067475959,-0.0209118735455364,0.14821044232022906
2017-01-17,8398.0,8440.900390625,8378.2998046875,8415.0498046875,122000,0.3042422429595377,0.5078050639587791,0.1879526930816831,-0.2035628209992414,-0.17592008642893786
