Date,Positive,Negative,Neutral,Compound_Sentiment
2017-01-01,0.3745401188473625,0.17169390770544957,0.45376597344718794,0.20284621114191292
2017-01-02,0.9507143064099162,0.500112752076627,0.0,0.4506015543332892
2017-01-03,0.7319939418114051,0.41195809503410197,0.0,0.3200358467773031
2017-01-04,0.5986584841970366,0.8705269662693842,0.0,-0.2718684820723476
2017-01-05,0.15601864044243652,0.6314189212183764,0.2125624383391871,-0.4754002807759399
2017-01-06,0.15599452033620265,0.5325040664159818,0.31150141324781555,-0.37650954607977916
2017-01-07,0.05808361216819946,0.11539464217891737,0.8265217456528832,-0.05731103001071791
2017-01-08,0.8661761457749352,0.6056378893234114,0.0,0.26053825645152373
2017-01-09,0.6011150117432088,0.11720390568023342,0.2816810825765578,0.4839111060629754
2017-01-10,0.7080725777960455,0.33720657556575206,0.0,0.3708660022302934
2017-01-11,0.020584494295802447,0.14284196481433187,0.8365735408898657,-0.12225747051852942
2017-01-12,0.9699098521619943,0.6920736470243689,0.0,0.2778362051376254
2017-01-13,0.8324426408004217,0.2062521138361526,0.0,0.6261905269642691
2017-01-14,0.21233911067827616,0.391859373188026,0.39580151613369785,-0.17952026250974984
2017-01-15,0.18182496720710062,0.8956747776187787,0.0,-0.713849810411678
2017-01-16,0.18340450985343382,0.2043163833989703,0.6122791067475959,-0.020911873545536475
2017-01-17,0.3042422429595377,0.5078050639587791,0.18795269308168316,-0.2035628209992414
2017-01-18,0.5247564316322378,0.419271661166022,0.05597190720174017,0.10548477046621585
2017-01-19,0.43194501864211576,0.018124041045729733,0.5499309403121545,0.41382097759638603
2017-01-20,0.2912291401980419,0.7927581135728128,0.0,-0.5015289733747709
2017-01-21,0.6118528947223795,0.06904590631459973,0.3191011989630208,0.5428069884077797
2017-01-22,0.13949386065204183,0.4742550209769536,0.38625111837100456,-0.33476116032491177
2017-01-23,0.29214464853521815,0.5606782949389499,0.1471770565258319,-0.2685336464037318
2017-01-24,0.3663618432936917,0.6284264566145871,0.0052117000917212275,-0.26206461332089537
2017-01-25,0.45606998421703593,0.6886316293078756,0.0,-0.23256164509083965
2017-01-26,0.7851759613930136,0.2532723835227151,0.0,0.5319035778702985
2017-01-27,0.19967378215835974,0.009978776658449373,0.7903474411831909,0.18969500549991036
2017-01-28,0.5142344384136116,0.723443662354912,0.0,-0.20920922394130037
2017-01-29,0.5924145688620425,0.5356565993475786,0.0,0.05675796951446388
2017-01-30,0.046450412719997725,0.8361177032072488,0.11743188407275351,-0.789667290487251
